context|end|flags|hp_id|index|line|negated|pat_id|relevant|score|section|start
|211.0|set()|HP:0001249|0.0|DOI: https://onlinelibrary.wiley.com/doi/full/10.1111/cge.12930<br><br><br>Mutations of the aminoacyl tRNA synthetases SARS and WARS2 are implicated in the etiology of autosomal recessive intellectual disability - Musante - 2017 - Human Mutation - Wiley Online Library<br>Working off-campus?|0.0|None|0.0|1|Unassigned|188.0
Share on<br><h2>Abstract</h2>. <br>. <br>. Intellectual disability (ID) is the hallmark of an extremely heterogeneous group of disorders that comprises a wide variety of syndromic and non syndromic phenotypes.. Here, we report on mutations in two aminoacyl tRNA synthetases that are associated with ID in two unrelated Iranian families.. In the first family, we identified a homozygous missense mutation (c.514G&gt:A, p. Asp172Asn) in the cytoplasmic seryl tRNA synthetase () gene.|23.0|{'non'}|HP:0001249|32.0|Intellectual disability (ID) is the hallmark of an extremely heterogeneous group of disorders that comprises a wide variety of syndromic and non syndromic phenotypes.|0.0|None|1.0|1|Abstract|0.0
Intellectual disability (ID) is the hallmark of an extremely heterogeneous group of disorders that comprises a wide variety of syndromic and non syndromic phenotypes.. Here, we report on mutations in two aminoacyl tRNA synthetases that are associated with ID in two unrelated Iranian families.. In the first family, we identified a homozygous missense mutation (c.514G&gt:A, p. Asp172Asn) in the cytoplasmic seryl tRNA synthetase () gene.. The mutation affects the enzymatic core domain of the protein and impairs its enzymatic activity, probably leading to reduced cytoplasmic tRNA concentrations.. The mutant protein was predicted to be unstable, which could be substantiated by investigating ectopic mutant SARS in transfected HEK293T cells.. In the second family, we found a compound heterozygous genotype of the mitochondrial tryptophanyl tRNA synthetase () gene, comprising a nonsense mutation (c.325delA, p. Ser109Alafs*15), which very likely entails nonsense mediated mRNA decay and a missense mutation (c.37T&gt:G, p. Trp13Gly).|20.0|{'probably'}|HP:0032320|35.0|The mutation affects the enzymatic core domain of the protein and impairs its enzymatic activity, probably leading to reduced cytoplasmic tRNA concentrations.|0.0|None|1.0|1|Abstract|13.0
The mutation affects the enzymatic core domain of the protein and impairs its enzymatic activity, probably leading to reduced cytoplasmic tRNA concentrations.. The mutant protein was predicted to be unstable, which could be substantiated by investigating ectopic mutant SARS in transfected HEK293T cells.. In the second family, we found a compound heterozygous genotype of the mitochondrial tryptophanyl tRNA synthetase () gene, comprising a nonsense mutation (c.325delA, p. Ser109Alafs*15), which very likely entails nonsense mediated mRNA decay and a missense mutation (c.37T&gt:G, p. Trp13Gly).. The latter affects the mitochondrial localization signal of WARS2, causing protein mislocalization.. Including , which we have recently implicated in the etiology of ID, three genes with a role in tRNA aminoacylation are now associated with this condition.. We therefore suggest that the functional integrity of tRNAs in general is an important factor in the development and maintenance of human cognitive functions.<br><h2>1 INTRODUCTION</h2>|18.0|set()|HP:0032320|38.0|The latter affects the mitochondrial localization signal of WARS2, causing protein mislocalization.|0.0|None|1.0|1|Abstract|11.0
Including , which we have recently implicated in the etiology of ID, three genes with a role in tRNA aminoacylation are now associated with this condition.. We therefore suggest that the functional integrity of tRNAs in general is an important factor in the development and maintenance of human cognitive functions.<br><h2>1 INTRODUCTION</h2>. <br>. With a prevalence between 1% and 3%, intellectual disability (ID) is among the most important problems in healthcare.. Particularly, hereditary autosomal recessive forms of the disorder (autosomal recessive intellectual disability [ARID]) have a very heterogeneous molecular basis, and genes with an increased number of disease causing mutations are not common (for review see, e.g., Khan et al., 2016: Musante &amp: Ropers, 2013).. Interestingly, apart from genes specifically expressed in synapses or in the nervous system, many ubiquitously expressed housekeeping genes have been implicated in ARID and neurological disorders (Najmabadi et al., 2011).|60.0|set()|HP:0001249|42.0|With a prevalence between 1% and 3%, intellectual disability (ID) is among the most important problems in healthcare.|0.0|None|0.0|1|1 INTRODUCTION|37.0
We therefore suggest that the functional integrity of tRNAs in general is an important factor in the development and maintenance of human cognitive functions.<br><h2>1 INTRODUCTION</h2>. <br>. With a prevalence between 1% and 3%, intellectual disability (ID) is among the most important problems in healthcare.. Particularly, hereditary autosomal recessive forms of the disorder (autosomal recessive intellectual disability [ARID]) have a very heterogeneous molecular basis, and genes with an increased number of disease causing mutations are not common (for review see, e.g., Khan et al., 2016: Musante &amp: Ropers, 2013).. Interestingly, apart from genes specifically expressed in synapses or in the nervous system, many ubiquitously expressed housekeeping genes have been implicated in ARID and neurological disorders (Najmabadi et al., 2011).. In line with these findings, we identified mutations in two aminoacyl tRNA synthetases (ARSs) in families with ARID.|111.0|{'not'}|HP:0001249|43.0|Particularly, hereditary autosomal recessive forms of the disorder (autosomal recessive intellectual disability [ARID]) have a very heterogeneous molecular basis, and genes with an increased number of disease causing mutations are not common (for review see, e.g., Khan et al., 2016: Musante &amp: Ropers, 2013).|0.0|None|0.0|1|1 INTRODUCTION|88.0
Interestingly, apart from genes specifically expressed in synapses or in the nervous system, many ubiquitously expressed housekeeping genes have been implicated in ARID and neurological disorders (Najmabadi et al., 2011).. In line with these findings, we identified mutations in two aminoacyl tRNA synthetases (ARSs) in families with ARID.. ARSs are essential and ubiquitously expressed enzymes and responsible for ligating amino acids to cognate tRNA molecules (aminoacylation) in mitochondria and in the cytosol.. Mutations in at least five mitochondrial ARSs have already been associated with brain specific phenotypes, and at least four genes encoding cytoplasmic ARS have been implicated in inherited peripheral neuropathy with an axonal pathology (for review see, e.g., Oprescu, Griffin, Beg, &amp: Antonellis, 2016: Wallen &amp: Antonellis, 2013: Yao &amp: Fox, 2013).<br>Here, we report on two Iranian families affected by ARID with similar accompanying features (Table 1).. Using homozygosity mapping, next generation sequencing and Sanger sequencing approaches, we have identified mutations in two different ARS genes.. In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which co segregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.|226.0|{'report', 'families', 'associated'}|HP:0003477|47.0|Mutations in at least five mitochondrial ARSs have already been associated with brain specific phenotypes, and at least four genes encoding cytoplasmic ARS have been implicated in inherited peripheral neuropathy with an axonal pathology (for review see, e.g., Oprescu, Griffin, Beg, &amp: Antonellis, 2016: Wallen &amp: Antonellis, 2013: Yao &amp: Fox, 2013).<br>Here, we report on two Iranian families affected by ARID with similar accompanying features (Table 1).|0.0|None|0.0|1|1 INTRODUCTION|190.0
Interestingly, apart from genes specifically expressed in synapses or in the nervous system, many ubiquitously expressed housekeeping genes have been implicated in ARID and neurological disorders (Najmabadi et al., 2011).. In line with these findings, we identified mutations in two aminoacyl tRNA synthetases (ARSs) in families with ARID.. ARSs are essential and ubiquitously expressed enzymes and responsible for ligating amino acids to cognate tRNA molecules (aminoacylation) in mitochondria and in the cytosol.. Mutations in at least five mitochondrial ARSs have already been associated with brain specific phenotypes, and at least four genes encoding cytoplasmic ARS have been implicated in inherited peripheral neuropathy with an axonal pathology (for review see, e.g., Oprescu, Griffin, Beg, &amp: Antonellis, 2016: Wallen &amp: Antonellis, 2013: Yao &amp: Fox, 2013).<br>Here, we report on two Iranian families affected by ARID with similar accompanying features (Table 1).. Using homozygosity mapping, next generation sequencing and Sanger sequencing approaches, we have identified mutations in two different ARS genes.. In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which co segregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.|411.0|{'report', 'families', 'associated'}|HP:0032320|47.0|Mutations in at least five mitochondrial ARSs have already been associated with brain specific phenotypes, and at least four genes encoding cytoplasmic ARS have been implicated in inherited peripheral neuropathy with an axonal pathology (for review see, e.g., Oprescu, Griffin, Beg, &amp: Antonellis, 2016: Wallen &amp: Antonellis, 2013: Yao &amp: Fox, 2013).<br>Here, we report on two Iranian families affected by ARID with similar accompanying features (Table 1).|0.0|None|0.0|1|1 INTRODUCTION|403.0
ARSs are essential and ubiquitously expressed enzymes and responsible for ligating amino acids to cognate tRNA molecules (aminoacylation) in mitochondria and in the cytosol.. Mutations in at least five mitochondrial ARSs have already been associated with brain specific phenotypes, and at least four genes encoding cytoplasmic ARS have been implicated in inherited peripheral neuropathy with an axonal pathology (for review see, e.g., Oprescu, Griffin, Beg, &amp: Antonellis, 2016: Wallen &amp: Antonellis, 2013: Yao &amp: Fox, 2013).<br>Here, we report on two Iranian families affected by ARID with similar accompanying features (Table 1).. Using homozygosity mapping, next generation sequencing and Sanger sequencing approaches, we have identified mutations in two different ARS genes.. In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which co segregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.. The variant affects an amino acid residue that is highly conserved across the animal kingdom and it leads to unstable protein expression in mammalian cells.. Moreover, the missense change leads to reduced enzymatic activity .<br>In the second family, we found compound DNA alterations affecting the mitochondrial  () gene (MIM# 604733) by whole genome sequencing and could show that both co segregate with moderate ID, ataxia, speech impairment, microcephaly, and aggressive behavior.|213.0|set()|HP:0000252|49.0|In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which co segregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.|0.0|None|0.0|1|1 INTRODUCTION|201.0
ARSs are essential and ubiquitously expressed enzymes and responsible for ligating amino acids to cognate tRNA molecules (aminoacylation) in mitochondria and in the cytosol.. Mutations in at least five mitochondrial ARSs have already been associated with brain specific phenotypes, and at least four genes encoding cytoplasmic ARS have been implicated in inherited peripheral neuropathy with an axonal pathology (for review see, e.g., Oprescu, Griffin, Beg, &amp: Antonellis, 2016: Wallen &amp: Antonellis, 2013: Yao &amp: Fox, 2013).<br>Here, we report on two Iranian families affected by ARID with similar accompanying features (Table 1).. Using homozygosity mapping, next generation sequencing and Sanger sequencing approaches, we have identified mutations in two different ARS genes.. In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which co segregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.. The variant affects an amino acid residue that is highly conserved across the animal kingdom and it leads to unstable protein expression in mammalian cells.. Moreover, the missense change leads to reduced enzymatic activity .<br>In the second family, we found compound DNA alterations affecting the mitochondrial  () gene (MIM# 604733) by whole genome sequencing and could show that both co segregate with moderate ID, ataxia, speech impairment, microcephaly, and aggressive behavior.|221.0|set()|HP:0001251|49.0|In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which co segregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.|0.0|None|0.0|1|1 INTRODUCTION|215.0
